FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Date
19,Iowa,2020,2,2488013.0,1720272.0,69.1,1674165.0,67.3,46107.0,2.7,2020-02-01
20,Kansas,2020,2,2242433.0,1504763.0,67.1,1458043.0,65.0,46720.0,3.1,2020-02-01
21,Kentucky,2020,2,3514207.0,2059014.0,58.6,1973837.0,56.2,85177.0,4.1,2020-02-01
22,Louisiana,2020,2,3580140.0,2076123.0,58.0,1979105.0,55.3,97018.0,4.7,2020-02-01
23,Maine,2020,2,1122899.0,696631.0,62.0,674445.0,60.1,22186.0,3.2,2020-02-01
24,Maryland,2020,2,4857569.0,3365190.0,69.3,3250084.0,66.9,115106.0,3.4,2020-02-01
25,Massachusetts,2020,2,5739545.0,3806656.0,66.3,3688777.0,64.3,117879.0,3.1,2020-02-01
26,Michigan,2020,2,8049878.0,4937894.0,61.3,4752121.0,59.0,185773.0,3.8,2020-02-01
27,Minnesota,2020,2,4464615.0,3123869.0,70.0,3013964.0,67.5,109905.0,3.5,2020-02-01
28,Mississippi,2020,2,2277690.0,1275701.0,56.0,1202653.0,52.8,73048.0,5.7,2020-02-01
29,Missouri,2020,2,4814915.0,3081373.0,64.0,2976175.0,61.8,105198.0,3.4,2020-02-01
30,Montana,2020,2,859273.0,547170.0,63.7,527825.0,61.4,19345.0,3.5,2020-02-01
31,Nebraska,2020,2,1497835.0,1049923.0,70.1,1018057.0,68.0,31866.0,3.0,2020-02-01
32,Nevada,2020,2,2441364.0,1566746.0,64.2,1498494.0,61.4,68252.0,4.4,2020-02-01
33,New Hampshire,2020,2,1134727.0,774097.0,68.2,754347.0,66.5,19750.0,2.6,2020-02-01
34,New Jersey,2020,2,7378637.0,4757142.0,64.5,4562044.0,61.8,195098.0,4.1,2020-02-01
35,New Mexico,2020,2,1659407.0,959313.0,57.8,908652.0,54.8,50661.0,5.3,2020-02-01
36,New York,2020,2,16255640.0,9901482.0,60.9,9488885.0,58.4,412597.0,4.2,2020-02-01
51000,New York city,2020,2,7123833.0,4291856.0,60.2,4105878.0,57.6,185978.0,4.3,2020-02-01
37,North Carolina,2020,2,8160550.0,5008917.0,61.4,4819159.0,59.1,189758.0,3.8,2020-02-01
38,North Dakota,2020,2,592911.0,410940.0,69.3,401873.0,67.8,9067.0,2.2,2020-02-01
